aU_z,aT_z,aL_z,ep,n_days,cls
0.3924088432531351,-0.24605448936450913,-0.13255241860966033,659,6,5-7
-0.9638193948006293,-0.15983240430565515,0.48402123962792665,660,7,5-7
-0.1654566260692444,-0.22879657013311938,0.11989397650336597,661,8,8-14
0.06133278764170014,-0.12473925941943381,-1.3388522297807173,665,4,3-4
1.5428677010063545,-0.08813967213084095,-1.0966736764894645,666,5,5-7
0.6379014227480801,0.054701138308631214,-2.0365117147848846,671,7,5-7
1.1979371577321416,0.10923204139951215,-1.0959336928350634,675,5,5-7
1.0819339828361105,-0.7831029288689426,0.4095416816841266,678,8,8-14
-1.739785470462111,0.01475601235104329,0.6462159617302807,680,3,3-4
1.482312818391358,0.2829451581351382,-1.9993156159087735,681,4,3-4
1.3404458426325305,1.9094936706673624,-1.5375052467484602,683,26,15+
1.1219974492409996,-0.05622223582330098,0.2628548037155734,685,8,8-14
-0.18334899646113695,0.42587524237080215,0.3028146290450585,686,20,15+
-0.4887587812758521,0.20467564349492418,1.4047534196453249,688,3,3-4
-0.8687832819593533,0.17663790822294811,0.0708635926855567,691,19,15+
1.111330767888972,0.6616286418230193,-1.2157142123629856,694,12,8-14
1.6910053377183367,1.0805458078597951,0.4857784891934023,696,5,5-7
0.028610745566098994,-0.40562960992477753,-2.526434215869444,697,3,3-4
1.6443567287575314,0.33989243668649527,0.28277882886457395,700,5,5-7
-0.7752306180020927,-1.6703414738270688,0.1793246330273117,704,8,8-14
0.5001007441701039,0.06976381117887265,-0.842485871464622,705,3,3-4
-1.1235583917768253,-0.42199457493448994,0.12606975377491003,708,7,5-7
1.0002334087575,1.7423260054625909,0.8356252677218285,713,59,15+
0.15219479551159004,0.12730928176762876,-0.8004413537403684,716,8,8-14
-0.24678572662292864,0.10405554591731792,-0.9581012937692005,717,7,5-7
0.5143317616272957,-0.3650330641879,-1.8958519904768654,718,15,15+
1.2493017661873436,1.2136361926388861,-0.7942927187144576,719,6,5-7
-0.16701639955524628,-0.25329993641800996,-0.2148248702555065,721,5,5-7
-0.6224699513524155,0.6080715445909295,0.13163786661718424,724,3,3-4
-0.799054978851377,0.5807813041065149,-3.140006788798331,725,27,15+
-1.0177254632444357,-0.5768462068296722,-0.3714742200530048,727,14,8-14
-0.3638670644240835,0.16579422440616198,-0.4168298853618453,728,23,15+
-0.048841482162737426,0.6854473141105113,-0.8311740387802049,730,6,5-7
1.2061891231671609,0.6013937189374172,0.1565071129623599,731,5,5-7
0.33219228164958303,0.3787091939844545,0.04111200415411176,735,4,3-4
0.678237702313087,-0.09528870525269717,-0.6678461539044829,736,5,5-7
0.2506399253095084,0.3200705542367917,0.7024964306740773,741,9,8-14
2.1269042776601204,0.62338843461815,0.700401080176729,744,10,8-14
1.1302340074658122,0.2559195814109411,-0.17222566908262565,750,3,3-4
0.6134016449699395,0.8041528441996704,0.014186394102583905,752,6,5-7
-0.4353951022176682,0.16805625547364123,0.02512097047658013,753,11,8-14
1.9069277063611338,1.334898303206672,0.5632292047288443,754,7,5-7
0.09342010133514339,-0.13859570356412898,-0.3538638692087828,756,5,5-7
0.9463705501928664,-0.23855605779905154,-3.4568235516171852,757,4,3-4
3.242392312501375,0.04104308611956109,-2.1728424617585222,759,5,5-7
-0.7798931164101446,0.43960156928120764,-1.9443675005289167,761,3,3-4
0.6514111920205861,-0.8194940342740786,0.6214077902673006,763,4,3-4
-0.18761720621046096,0.1394498777236004,0.33753615666559633,765,3,3-4
0.14933505451279,0.23616298904293087,1.190653832896209,768,8,8-14
-0.010492685774732669,0.031671093285247975,-1.0747372663610717,769,8,8-14
0.34455438930711446,0.20855318799067135,-0.3668122589762163,770,4,3-4
0.08282125082335864,-1.4132949398927348,0.11885862096472999,775,8,8-14
0.160755636798764,-0.6626844128557511,0.6748196855694031,780,7,5-7
-0.7677779213652473,0.6532749776325425,-0.6331747327264242,781,5,5-7
1.7900996728786915,0.5334150421308874,-3.3238404872200236,783,27,15+
0.010984811405376521,0.16369044278257572,0.46422991180849593,784,6,5-7
0.10835217117244259,-0.551706454340247,-2.690169811493207,787,3,3-4
0.4135556000137104,-0.8296421872721058,-1.0321874606826416,789,8,8-14
0.5889057181151331,-0.5554918057996513,1.0015579037074274,790,13,8-14
0.4200458842876392,0.3309567260372033,0.788853669837226,792,8,8-14
-0.2838242014520873,-0.06176584519015593,-0.08637636518306735,793,8,8-14
0.727202659480663,-0.7206466589476112,0.16818012451821418,795,11,8-14
-0.17214799200904587,-0.5193454079136894,-0.433355036857833,797,28,15+
1.988450487658913,-0.9729763250199872,-1.66825077053042,798,7,5-7
0.024476492609136424,-0.4694291963154519,0.7783261306205153,804,7,5-7
-0.9116773108141326,1.5187773974250136,0.561656242457964,807,14,8-14
1.135858105741318,0.29420235222928937,-0.165868058261561,808,5,5-7
0.8352567159840473,-0.1093842242417713,-1.6271848125864277,809,42,15+
1.6665931347056846,0.29069426020578537,-0.10671838936714942,811,4,3-4
0.849843376462363,1.1544556132555899,0.3549592504400052,813,9,8-14
0.050016919224082745,0.2382921815453476,0.1566693440683958,815,4,3-4
1.4674839780017062,0.12647527109522438,-0.4290953788973733,818,19,15+
1.1181288454070748,0.40719469847291023,0.029900992443940483,821,3,3-4
-0.6979292909677113,-0.413389053585299,0.2887330495034556,825,18,15+
-0.5215222872069767,1.1856494478724504,0.9063942068490848,829,37,15+
-0.3627911584656012,0.468144248271672,-0.18642523630863927,832,4,3-4
1.0653641732508472,0.2852780746668784,0.04236526993370848,834,5,5-7
-0.5610607079792178,0.14245998576178065,0.6754692748190341,835,36,15+
1.2177864397183285,-0.5720653931665898,-0.6961010102385217,837,29,15+
0.8834222467577588,0.3080293104790793,-1.711860298270379,838,3,3-4
1.1684850928808994,-1.718451272619396,-0.5734945756153367,839,19,15+
-0.8689812387394257,0.006295172410975658,-1.5994952300575807,841,7,5-7
0.44067459158998423,0.17673701496951383,-0.18722298087444517,842,3,3-4
1.2129215272626692,0.16919007596360636,-2.4773230579340004,848,4,3-4
1.291985887017988,0.018634718391287386,-0.19253218798444438,854,6,5-7
-0.7312811519730668,-0.004798374550378792,-0.8986938084252772,859,4,3-4
-0.18966529537026589,-0.17406249582601757,-0.1531821582682678,864,4,3-4
1.3102892754924946,0.37829180882908453,0.22474648411910636,867,7,5-7
-0.41063049007684055,-0.1682390928507893,0.19953283308645559,871,4,3-4
0.42380457002458244,0.2626422064670936,-0.11370719372612359,884,3,3-4
-0.3351668665670585,-0.4493119481535475,-1.66462800914775,897,3,3-4
