site_id,lat,lon,n_summers,n_days,n_ep,med_dur,max_dur,ep_days,ep_per_summer,frac_days
3108490,40.6489079,-80.3833884,13,2333,0.0,,,0.0,0.0,0.0
3183500,37.7242874,-80.641468,15,2709,0.0,,,0.0,0.0,0.0
3216070,38.53205556,-82.68594444,9,1587,0.0,,,0.0,0.0,0.0
3219500,40.4195042,-83.1971372,13,2274,6.0,1.5,4.0,11.0,0.46153846153846156,0.4837291116974494
3220510,40.15311775,-83.1263,10,1546,46.0,2.0,11.0,131.0,4.6,8.473479948253557
3228039,39.8397222,-83.0094444,13,2252,0.0,,,0.0,0.0,0.0
3228300,40.2361735,-82.8512892,13,2286,4.0,1.5,3.0,7.0,0.3076923076923077,0.30621172353455817
3254520,38.9203417,-84.44799549,13,2182,7.0,1.0,6.0,13.0,0.5384615384615384,0.5957836846929423
3277200,38.77525,-84.97238889,14,2571,52.0,1.0,5.0,86.0,3.7142857142857144,3.3450019447685726
3292470,38.36117864,-85.57459969,9,1534,0.0,,,0.0,0.0,0.0
3292475,38.3034027,-85.62801689,9,1495,4.0,1.5,2.0,6.0,0.4444444444444444,0.4013377926421405
3292480,38.3127635,-85.6261558,9,1468,0.0,,,0.0,0.0,0.0
3292500,38.2114592,-85.7024613,8,1368,30.0,2.0,10.0,99.0,3.75,7.2368421052631575
3293000,38.237222,-85.664722,9,1609,1.0,6.0,6.0,6.0,0.1111111111111111,0.3729024238657551
3293500,38.25034895,-85.7166287,9,1518,86.0,2.0,11.0,224.0,9.555555555555555,14.756258234519104
3293530,38.27645917,-85.693573,10,1730,3.0,1.0,1.0,3.0,0.3,0.17341040462427745
3297800,37.9911111,-85.6411111,9,1471,5.0,4.0,6.0,16.0,0.5555555555555556,1.087695445275323
3298000,38.18840166,-85.460235,10,1785,2.0,1.5,2.0,3.0,0.2,0.16806722689075632
3298135,38.19479109,-85.557181,8,1346,7.0,2.0,4.0,16.0,0.875,1.188707280832095
3298150,38.16006729,-85.5421797,10,1676,3.0,2.0,3.0,6.0,0.3,0.35799522673031026
3298250,38.0792321,-85.6160683,9,1444,7.0,1.0,2.0,9.0,0.7777777777777778,0.6232686980609419
3298300,38.0875,-85.6425,8,1235,49.0,2.0,11.0,149.0,6.125,12.064777327935223
3301900,38.1756242,-85.615237,12,2005,0.0,,,0.0,0.0,0.0
3301940,38.1492,-85.6788,8,1325,32.0,1.0,18.0,78.0,4.0,5.886792452830188
3302030,38.05423677,-85.8716296,9,1517,3.0,1.0,1.0,3.0,0.3333333333333333,0.19775873434410018
3302050,38.04693096,-85.8572681,10,1647,50.0,2.0,8.0,123.0,5.0,7.468123861566484
